date,revenue
2016-11-04,19112.94
2016-11-05,19200.01
2016-11-06,17197.7
2016-11-07,26436.72
2016-11-08,28307.53
2016-11-09,27223.07
2016-11-10,21147.19
2016-11-11,20420.52
2016-11-12,20002.96
2016-11-13,16902.99
2016-11-14,17227.35
2016-11-15,15064.210000000001
2016-11-16,17044.07
2016-11-17,15728.69
2016-11-18,17405.48
2016-11-19,17390.81
2016-11-20,13356.33
2016-11-21,16827.41
2016-11-22,16211.93
2016-11-23,12897.16
2016-11-24,10916.43
2016-11-25,15864.16
2016-11-26,14193.73
2016-11-27,9538.17
2016-11-28,10683.87
2016-11-29,9939.97
2016-11-30,8635.07
2016-12-01,9397.42
2016-12-02,11713.94
2016-12-03,15742.65
2016-12-04,12708.29
2016-12-05,14716.79
2016-12-06,11191.23
2016-12-07,11895.71
2016-12-08,15918.37
2016-12-09,16950.92
2016-12-10,16730.0
2016-12-11,8109.49
2016-12-12,5502.09
2016-12-13,5782.97
2016-12-14,6036.37
2016-12-15,5822.05
2016-12-16,7424.47
2016-12-17,7429.54
2016-12-18,7350.14
2016-12-19,8601.03
2016-12-20,8424.83
2016-12-21,8977.59
2016-12-22,9625.37
2016-12-23,10970.710000000001
2016-12-24,13336.29
2016-12-25,14374.4
2016-12-26,15168.76
2016-12-27,21057.31
2016-12-28,21076.0
2016-12-29,22416.59
2016-12-30,25525.18
2016-12-31,25788.8
2017-01-01,22740.25
2017-01-02,18635.22
2017-01-03,17836.48
2017-01-04,16649.28
2017-01-05,14428.89
2017-01-06,11849.94
2017-01-07,11366.33
2017-01-08,9592.83
2017-01-09,9476.2
2017-01-10,11066.11
2017-01-11,10067.09
2017-01-12,9356.04
2017-01-13,10536.63
2017-01-14,9768.6
2017-01-15,7659.72
2017-01-16,9462.83
2017-01-17,9178.62
2017-01-18,16230.06
2017-01-19,13752.99
2017-01-20,14557.61
2017-01-21,13587.58
2017-01-22,12239.27
2017-01-23,10022.72
2017-01-24,10144.73
2017-01-25,11574.22
2017-01-26,11311.16
2017-01-27,10323.11
2017-01-28,10421.43
2017-01-29,7574.88
2017-01-30,7708.91
2017-01-31,8599.57
2017-02-01,9012.72
2017-02-02,10974.62
2017-02-03,12393.41
2017-02-04,12920.23
2017-02-05,11553.4
2017-02-06,10272.78
2017-02-07,11543.46
2017-02-08,11486.83
2017-02-09,13833.34
2017-02-10,15976.43
2017-02-11,15921.14
2017-02-12,15734.13
2017-02-13,19369.88
2017-02-14,20540.52
2017-02-15,20534.18
2017-02-16,19434.34
2017-02-17,18473.15
2017-02-18,18474.19
2017-02-19,15788.67
2017-02-20,17609.01
2017-02-21,17841.41
2017-02-22,20186.38
2017-02-23,18300.23
2017-02-24,13565.47
2017-02-25,16787.37
2017-02-26,15882.63
2017-02-27,19760.87
2017-02-28,17447.13
2017-03-01,16444.66
2017-03-02,17901.9
2017-03-03,18735.17
2017-03-04,17147.81
2017-03-05,15622.539999999999
2017-03-06,18927.33
2017-03-07,19303.98
2017-03-08,17124.18
2017-03-09,16425.68
2017-03-10,19135.16
2017-03-11,19929.46
2017-03-12,16038.02
2017-03-13,15854.92
2017-03-14,18822.92
2017-03-15,18344.54
2017-03-16,18499.03
2017-03-17,19706.48
2017-03-18,20943.13
2017-03-19,20384.24
2017-03-20,19567.41
2017-03-21,19378.98
2017-03-22,16505.29
2017-03-23,18393.74
2017-03-24,21471.46
2017-03-25,22131.96
2017-03-26,15784.19
2017-03-27,19832.47
2017-03-28,19845.53
2017-03-29,18404.01
2017-03-30,20660.82
2017-03-31,21849.76
2017-04-01,22838.81
2017-04-02,21201.44
2017-04-03,25400.53
2017-04-04,24938.06
2017-04-05,24944.29
2017-04-06,26697.54
2017-04-07,26781.73
2017-04-08,26714.48
2017-04-09,24365.37
2017-04-10,27858.25
2017-04-11,28382.99
2017-04-12,27808.94
2017-04-13,29511.49
2017-04-14,28990.31
2017-04-15,27970.670000000002
2017-04-16,28303.09
2017-04-17,26848.71
2017-04-18,24444.58
2017-04-19,27047.63
2017-04-20,27642.1
2017-04-21,26880.38
2017-04-22,27337.81
2017-04-23,22071.3
2017-04-24,25668.89
2017-04-25,25562.87
2017-04-26,26786.72
2017-04-27,27042.07
2017-04-28,28599.329999999998
2017-04-29,29148.22
2017-04-30,28533.32
2017-05-01,25926.34
2017-05-02,24331.04
2017-05-03,26327.19
2017-05-04,27702.36
2017-05-05,28618.72
2017-05-06,28435.89
2017-05-07,26229.78
2017-05-08,23990.48
2017-05-09,26307.52
2017-05-10,28391.079999999998
2017-05-11,28760.87
2017-05-12,29561.37
2017-05-13,30079.489999999998
2017-05-14,29811.22
2017-05-15,27330.59
2017-05-16,29460.39
2017-05-17,29696.08
2017-05-18,30310.37
2017-05-19,31010.01
2017-05-20,32010.63
2017-05-21,30588.97
2017-05-22,30973.11
2017-05-23,30874.73
2017-05-24,29577.86
2017-05-25,29772.12
2017-05-26,30078.91
2017-05-27,29369.16
2017-05-28,24369.97
2017-05-29,22678.04
2017-05-30,23382.68
2017-05-31,25334.88
2017-06-01,25913.72
2017-06-02,28701.35
2017-06-03,28406.21
2017-06-04,26179.19
2017-06-05,28703.69
2017-06-06,29797.15
2017-06-07,29802.5
2017-06-08,30718.16
2017-06-09,30296.92
2017-06-10,29218.14
2017-06-11,25133.32
2017-06-12,26610.32
2017-06-13,26137.91
2017-06-14,27339.41
2017-06-15,28351.579999999998
2017-06-16,26982.8
2017-06-17,27840.27
2017-06-18,23952.15
2017-06-19,26080.71
2017-06-20,29377.02
2017-06-21,30219.02
2017-06-22,28230.49
2017-06-23,26147.39
2017-06-24,25791.74
2017-06-25,25859.4
2017-06-26,27289.73
2017-06-27,24040.86
2017-06-28,26175.23
2017-06-29,26880.5
2017-06-30,26829.67
2017-07-01,26749.5
2017-07-02,25291.97
2017-07-03,26263.36
2017-07-04,26846.92
2017-07-05,27500.64
2017-07-06,26453.37
2017-07-07,26536.89
2017-07-08,26324.27
2017-07-09,26736.85
2017-07-10,27541.89
2017-07-11,27371.78
2017-07-12,27581.98
2017-07-13,27384.83
2017-07-14,27231.82
2017-07-15,26086.19
2017-07-16,26790.03
2017-07-17,27277.1
2017-07-18,27048.0
2017-07-19,27089.69
2017-07-20,27528.41
2017-07-21,26900.11
2017-07-22,27773.04
2017-07-23,28529.21
2017-07-24,28269.45
2017-07-25,30271.32
2017-07-26,29053.39
2017-07-27,28666.579999999998
2017-07-28,28474.96
2017-07-29,27430.82
2017-07-30,25025.11
2017-07-31,27439.71
2017-08-01,27807.6
2017-08-02,30834.51
2017-08-03,29717.16
2017-08-04,30198.06
2017-08-05,28726.78
2017-08-06,28999.41
2017-08-07,31009.31
2017-08-08,31120.66
2017-08-09,30995.25
2017-08-10,31190.44
2017-08-11,31774.7
2017-08-12,32167.37
2017-08-13,28831.02
2017-08-14,31507.95
2017-08-15,31345.68
2017-08-16,30759.89
2017-08-17,30259.26
2017-08-18,30230.9
2017-08-19,29193.57
2017-08-20,28685.0
2017-08-21,28493.78
2017-08-22,28287.02
2017-08-23,29063.73
2017-08-24,29551.1
2017-08-25,30051.85
2017-08-26,29465.21
2017-08-27,25165.48
2017-08-28,26796.17
2017-08-29,26675.68
2017-08-30,24394.42
2017-08-31,27278.39
